ISO3,NAME,D_T_DIFF,LATITUDE,LONGITUDE,Norm_T_Diff
IND,SIROHI,1.09740447958,24.888385011,72.8654528944,0.0227980326901569
IND,AJAIGARH,-3.59531785995,24.9049016773,80.2622861698,-0.0799992346093171
IND,Nawada,3.11162848106,24.8910858468,85.5514751247,0.0702559925806146
CHN,Chongwu,-3.76097607656,24.896781033,118.913191409,-0.1023418301811593
MEX,Linares,1.89976653456,24.8700327474,-99.5831246918,0.0403662415541671
IND,KHAJURAHO,4.32082944876,24.8652799968,79.9253985341,0.0945266939527329
BGD,Netrâkonâ,-0.296389316066,24.8837805855,90.7309405325,-0.0097236612835253
MEX,Cuencame,-1.46786085536,24.8713876912,-103.686264681,-0.0302903083929123
BHS,Rock Sound,1.4637745098,24.8796042733,-76.1575599346,0.0479134441968005
IND,Banka,3.05062654867,24.8838296462,86.9258234561,0.0689360806913277
BGD,Bogra,0.794428172359,24.8321425613,89.3809794803,0.0256789468629127
CHN,Dachang,1.20762633701,24.8501546536,107.615981895,0.0401503780147938
JPN,Hirara,7.27917241379,24.7847643766,125.30048938,0.262304696722263
MEX,San Fernando,-0.921446761287,24.8503287147,-98.143913265,-0.0189750625968257
OMN,as-Sib,-2.25463149101,23.8535754743,57.6462423996,-0.047505049864944
IND,KAPASAN,-0.0677284710018,24.87949578,74.318738937,-0.0013981864483225
IND,IMPHAL,3.04650077093,24.81087581,93.9481384738,0.0912833126215241
CHN,kejie,2.76327348426,24.8798918459,99.4426459703,0.0994015181038063
CHN,Yanqian,3.93860910114,24.852025364,116.211406592,0.1215734670143604
TWN,Ilan,6.73697385621,24.7082550535,121.757326752,0.2195068021929538
IND,FARRAKKABARRAGETOWNSHIP,-0.623865527152,24.7991163603,87.9257467491,-0.0163643680113373
IND,SILCHAR,0.93331741855,24.8219906076,92.7943396022,0.0279756200707526
BGD,Naugâon,0.764452054795,24.8193354258,88.9707072394,0.0241317005775494
IND,ISAGARH,5.87954530002,24.8342240962,77.881633538,0.129781466922515
IND,Gaya,-1.33936456007,24.765263891,84.9948180616,-0.0278422281368363
IND,GODDA,0.0660462287105,24.8286623127,87.2231838823,0.0014664679898313
CHN,Danfeng,0.688370112273,24.8201464263,104.010353218,0.0248899866119581
IND,KHARGAPUR,-0.316013330818,24.8202365627,79.1529225064,-0.0076970571280188
CHN,Fuyang,4.09457108681,24.8198467713,111.286173686,0.1140393314172784
IND,Rafiganj,1.00658751403,24.8146316279,84.6404178387,0.0212231204314396
IND,Hisua,-2.66966666667,24.8300625814,85.4165197954,-0.0545056111720138
IND,PINDWARA,1.39221178821,24.7959453193,73.051126201,0.0287139346618444
CHN,Lianzhou,1.5212593985,24.7828425218,112.381385971,0.0432872207734947
IND,RAMGANJMANDI,0.999406467298,24.6954264593,75.9720208827,0.0193919568417418
CHN,Kunyang,1.92749716739,24.7473603856,102.580478443,0.0661094285692275
IND,FATEHNAGAR,-0.443225045372,24.791995907,73.9833244798,-0.0086896265108325
CHN,Dongmen,0.668213571143,24.7873381715,108.895004952,0.0206544860424619
CHN,Rucheng,2.37576431107,24.7786338367,113.279154481,0.0684533929707438
PAK,Thatta,-0.144759914743,24.7460269482,67.9276110072,-0.0038306535889106
IND,TIKAMGARH,2.94993800957,24.7504515623,78.8399410612,0.0649655768003445
IND,JhaÿJha,1.4281978022,24.7739399728,86.3825750428,0.0301058334734197
BGD,Mymenshing,1.5771162593,24.7517003375,90.4174305971,0.051737085568452
CHN,Lishi,0.732416876717,24.7132476525,115.005365512,0.022501991824727
BHS,Freetown,2.39082258065,24.781076988,-76.2757465303,0.0766493750401189
IND,HANUMANA,2.8779472693,24.7730134273,82.0953584664,0.0625069278759814
IND,Aurangabad,-0.904678039927,24.7541669737,84.382883445,-0.0184086612178382
CHN,Lufu,1.23143811624,24.7610565108,103.276673365,0.0407533451913845
IND,SANCHORE,1.48020618557,24.755070546,71.7859091619,0.0297291085616406
BGD,Sarîshâbarî,1.06264541833,24.7611616137,89.8466560368,0.0356935528551056
BGD,Muktagacha,0.824326923077,24.7621874614,90.2631304639,0.0270370849272928
CHN,Siba,3.52810578601,24.7615464732,108.822744815,0.1080037576515736
CHN,Xingfu,2.35680698207,24.6790012927,116.180415867,0.0722164988893296
IND,PANNA,-2.43041719343,24.7199721208,80.1949496708,-0.0641215630044496
BHS,Andros Town,-3.20438297872,24.7354414349,-77.8010958176,-0.0931333869271797
IND,BIRSINGHPUR,1.79571856287,24.7406064141,80.8666572577,0.0386930912796785
CHN,Fengcheng,1.48373049525,24.7257633762,116.735498862,0.0459376256095607
IND,CHANDERI,4.00071794872,24.7134234834,78.1443946952,0.090613856786118
CHN,Pingyuan,2.79151156878,24.7118763104,97.9486293617,0.0971088637168404
USA,Key West,1.53370499313,24.6246415081,-81.5834813611,0.0512271116691754
CHN,Hechi,0.627828571429,24.6975304745,108.063856636,0.0197145897294695
CHN,Sanjiang,1.75065116279,24.7149601064,112.292720388,0.051696526186806
IND,LALITPUR,1.58709389817,24.6950010053,78.4276185693,0.0356468459045889
CHN,Longquan,4.26562537573,24.6869566451,102.169562644,0.1550824225453513
IND,ROBERTSGANJ,-0.24281173981,24.6720796767,83.079579994,-0.0055339977745196
IND,Hailakandi,2.03217231147,24.6835185163,92.5682364609,0.0607683843652782
PAK,Badin,2.43225082434,24.6598984774,68.8497946255,0.06036658616282
IND,DHULIAN,-0.363123177476,24.6710319126,87.9538402271,-0.0098041161346069
BGD,Sherpur,1.10202730003,24.6729806706,89.4215794559,0.0355534695479287
CHN,Fenglu,0.789883369158,24.6644585555,102.950961157,0.028721070596738
IND,CHHABRA,-0.387536062378,24.6669950844,76.8549279614,-0.0071165401371134
IND,GUNA,0.263846101231,24.6464073346,77.3211292813,0.0052569017865551
IND,MAUGANJ,1.48267777778,24.6683840225,81.8785393171,0.0313340420071891
IND,UDAIPUR,-6.20469220612,24.599448761,73.7544671037,-0.1324882447455172
CHN,Zhongdu,2.48744814815,24.6662241306,109.670512391,0.069890396877555
IND,MANGAWAN,-3.8092204139,24.6517160201,81.5476749206,-0.0837798967470734
IND,THOUBAL,4.11463556851,24.6431005491,94.0065366398,0.1295962490803793
IND,NIMBAHERA,1.74862154521,24.6262080785,74.6926118492,0.0370147610866377
MEX,Concepcion del Oro,-0.226893289979,24.6192015999,-101.402044465,-0.0050805445484766
IND,BIJAWAR,3.93594366197,24.6300504122,79.4986006139,0.0848884717146892
IND,SATNA,-7.73472514085,24.5833677667,80.8532575292,-0.1811598557034034
